index,aoi,id,resolution,Mask,Sat,Dark,Shadow,Veg,Bare,Water,Unknown,Cl_Med,Cl_High,Cl_Cirrus,Snow,Total_pixels,NoData_pixels,NoData_pc,aoi_width,aoi_height,runtime,Cl_all,Mask_diff,Sat_diff,Dark_diff,Shadow_diff,Veg_diff,Bare_diff,Water_diff,Unknown_diff,Cl_Med_diff,Cl_High_diff,Cl_Cirrus_diff,Snow_diff,Cl_all_diff,diff_max,tile_size
15655,rdd_extent_10000_0,S2A_MSIL2A_20230610T110621_R137_T30TUM_20230610T202756,20,,0.0,0.0,1.3652,0.2736,0.3616,0.0,0.74,7.1652,90.0804,0.014,0.0,250000,0,0.0,10000.000000000058,10000.000000000931,0.1929175853729248,97.25959999999999,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0
15661,rdd_extent_10000_0,S2A_MSIL2A_20230610T110621_R137_T30TUM_20230610T202756,50,,0.0,0.0,1.3275,0.2525,0.34,0.0,0.7225,7.15,90.1925,0.015,0.0,40000,0,0.0,10000.000000000058,10000.000000000931,0.16106295585632324,97.3575,,0.0,0.0,-0.03770000000000007,-0.021100000000000008,-0.021599999999999953,0.0,-0.01749999999999996,-0.015199999999999214,0.11209999999999809,0.0009999999999999992,0.0,0.09790000000000987,0.09790000000000987,10000.0
15667,rdd_extent_10000_0,S2A_MSIL2A_20230610T110621_R137_T30TUM_20230610T202756,100,,0.0,0.0,1.29,0.27,0.41,0.0,0.73,7.08,90.2,0.02,0.0,10000,0,0.0,10000.000000000058,10000.000000000931,0.16149449348449707,97.3,,0.0,0.0,-0.07519999999999993,-0.003599999999999992,0.0484,0.0,-0.010000000000000009,-0.0851999999999995,0.11960000000000548,0.006,0.0,0.04040000000000532,0.07519999999999993,10000.0
15673,rdd_extent_10000_0,S2A_MSIL2A_20230610T110621_R137_T30TUM_20230610T202756,200,,0.0,0.0,1.16,0.16,0.36,0.0,0.84,7.6,89.88,0.0,0.0,2500,0,0.0,10000.000000000058,10000.000000000931,0.1507430076599121,97.47999999999999,,0.0,0.0,-0.20520000000000005,-0.1136,-0.0015999999999999903,0.0,0.09999999999999998,0.4348000000000001,-0.2004000000000019,-0.014,0.0,0.22039999999999793,0.22039999999999793,10000.0
15679,rdd_extent_10000_0,S2A_MSIL2A_20230610T110621_R137_T30TUM_20230610T202756,500,,0.0,0.0,0.75,0.0,0.25,0.0,0.75,5.25,93.0,0.0,0.0,400,0,0.0,10000.000000000058,10000.000000000931,0.1473250389099121,98.25,,0.0,0.0,-0.6152,-0.2736,-0.11159999999999998,0.0,0.010000000000000009,-1.9151999999999996,2.9196000000000026,-0.014,0.0,0.9904000000000082,0.9904000000000082,10000.0
15685,rdd_extent_10000_0,S2A_MSIL2A_20230610T110621_R137_T30TUM_20230610T202756,1000,,0.0,0.0,1.0,0.0,0.0,0.0,1.0,11.0,87.0,0.0,0.0,100,0,0.0,10000.000000000058,10000.000000000931,0.15262293815612793,98.0,,0.0,0.0,-0.36519999999999997,-0.2736,-0.3616,0.0,0.26,3.8348000000000004,-3.0803999999999974,-0.014,0.0,0.7404000000000082,0.7404000000000082,10000.0
15657,rdd_extent_10000_0,S2A_MSIL2A_20230620T110621_R137_T30TUM_20230620T202552,20,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.5716,82.2388,3.1896,0.0,250000,0,0.0,10000.000000000058,10000.000000000931,0.1929175853729248,100.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0
15663,rdd_extent_10000_0,S2A_MSIL2A_20230620T110621_R137_T30TUM_20230620T202552,50,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.5225,82.3775,3.1,0.0,40000,0,0.0,10000.000000000058,10000.000000000931,0.16106295585632324,100.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.049099999999999255,0.13870000000000005,-0.0895999999999999,0.0,0.0,0.0,10000.0
15669,rdd_extent_10000_0,S2A_MSIL2A_20230620T110621_R137_T30TUM_20230620T202552,100,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.51,82.34,3.15,0.0,10000,0,0.0,10000.000000000058,10000.000000000931,0.16149449348449707,100.00000000000001,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.06160000000000032,0.10120000000000573,-0.03960000000000008,0.0,1.4210854715202004e-14,1.4210854715202004e-14,10000.0
15675,rdd_extent_10000_0,S2A_MSIL2A_20230620T110621_R137_T30TUM_20230620T202552,200,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.8,82.28,2.92,0.0,2500,0,0.0,10000.000000000058,10000.000000000931,0.1507430076599121,100.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2284000000000006,0.041200000000003456,-0.26960000000000006,0.0,0.0,0.0,10000.0
15681,rdd_extent_10000_0,S2A_MSIL2A_20230620T110621_R137_T30TUM_20230620T202552,500,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.25,86.25,2.5,0.0,400,0,0.0,10000.000000000058,10000.000000000931,0.1473250389099121,100.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.3216,4.011200000000002,-0.6896,0.0,0.0,0.0,10000.0
