index,aoi,id,resolution,Mask,Sat,Dark,Shadow,Veg,Bare,Water,Unknown,Cl_Med,Cl_High,Cl_Cirrus,Snow,Total_pixels,NoData_pixels,NoData_pc,aoi_width,aoi_height,runtime,Cl_all,Mask_diff,Sat_diff,Dark_diff,Shadow_diff,Veg_diff,Bare_diff,Water_diff,Unknown_diff,Cl_Med_diff,Cl_High_diff,Cl_Cirrus_diff,Snow_diff,Cl_all_diff,diff_max,tile_size
7099,rdd_west_2a_1000_0,S2A_MSIL2A_20230610T110621_R137_T30TUM_20230610T202756,20,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.12,90.88,0.0,0.0,2500,0,0.0,1000.0000000001164,1000.0,0.33970117568969727,100.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0
7105,rdd_west_2a_1000_0,S2A_MSIL2A_20230610T110621_R137_T30TUM_20230610T202756,50,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,91.0,0.0,0.0,400,0,0.0,1000.0000000001164,1000.0,0.2922804355621338,100.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.11999999999999922,0.12000000000000455,0.0,0.0,0.0,0.0,1000.0
7111,rdd_west_2a_1000_0,S2A_MSIL2A_20230610T110621_R137_T30TUM_20230610T202756,100,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,96.0,0.0,0.0,100,0,0.0,1000.0000000001164,1000.0,0.29549741744995117,100.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.119999999999999,5.1200000000000045,0.0,0.0,0.0,0.0,1000.0
7117,rdd_west_2a_1000_0,S2A_MSIL2A_20230610T110621_R137_T30TUM_20230610T202756,200,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,25,0,0.0,1000.0000000001164,1000.0,0.292586088180542,100.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.12,9.120000000000005,0.0,0.0,0.0,0.0,1000.0
7123,rdd_west_2a_1000_0,S2A_MSIL2A_20230610T110621_R137_T30TUM_20230610T202756,500,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,4,0,0.0,1000.0000000001164,1000.0,0.35318875312805176,100.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.12,9.120000000000005,0.0,0.0,0.0,0.0,1000.0
7129,rdd_west_2a_1000_0,S2A_MSIL2A_20230610T110621_R137_T30TUM_20230610T202756,1000,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,1,0,0.0,1000.0000000001164,1000.0,0.2812950611114502,100.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.12,9.120000000000005,0.0,0.0,0.0,0.0,1000.0
7101,rdd_west_2a_1000_0,S2A_MSIL2A_20230620T110621_R137_T30TUM_20230620T202552,20,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,2500,0,0.0,1000.0000000001164,1000.0,0.33970117568969727,100.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0
7107,rdd_west_2a_1000_0,S2A_MSIL2A_20230620T110621_R137_T30TUM_20230620T202552,50,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,400,0,0.0,1000.0000000001164,1000.0,0.2922804355621338,100.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0
7113,rdd_west_2a_1000_0,S2A_MSIL2A_20230620T110621_R137_T30TUM_20230620T202552,100,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,100,0,0.0,1000.0000000001164,1000.0,0.29549741744995117,100.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0
7119,rdd_west_2a_1000_0,S2A_MSIL2A_20230620T110621_R137_T30TUM_20230620T202552,200,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,25,0,0.0,1000.0000000001164,1000.0,0.292586088180542,100.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0
