index,aoi,id,resolution,Mask,Sat,Dark,Shadow,Veg,Bare,Water,Unknown,Cl_Med,Cl_High,Cl_Cirrus,Snow,Total_pixels,NoData_pixels,NoData_pc,aoi_width,aoi_height,runtime,Cl_all,Mask_diff,Sat_diff,Dark_diff,Shadow_diff,Veg_diff,Bare_diff,Water_diff,Unknown_diff,Cl_Med_diff,Cl_High_diff,Cl_Cirrus_diff,Snow_diff,Cl_all_diff,diff_max,tile_size
2,stockerau_small_1000_0,S2A_MSIL2A_20230606T095031_R079_T33UWP_20230606T162616,20,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,2500,0,0.0,1000.0000000002328,1000.0000000009313,0.3967595100402832,100.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0
15,stockerau_small_1000_0,S2A_MSIL2A_20230606T095031_R079_T33UWP_20230606T162616,50,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,400,0,0.0,1000.0000000002328,1000.0000000009313,0.16652488708496094,100.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0
28,stockerau_small_1000_0,S2A_MSIL2A_20230606T095031_R079_T33UWP_20230606T162616,100,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,100,0,0.0,1000.0000000002328,1000.0000000009313,0.16260910034179688,100.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0
41,stockerau_small_1000_0,S2A_MSIL2A_20230606T095031_R079_T33UWP_20230606T162616,200,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,25,0,0.0,1000.0000000002328,1000.0000000009313,0.1664423942565918,100.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0
54,stockerau_small_1000_0,S2A_MSIL2A_20230606T095031_R079_T33UWP_20230606T162616,500,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,4,0,0.0,1000.0000000002328,1000.0000000009313,0.16887211799621582,100.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0
67,stockerau_small_1000_0,S2A_MSIL2A_20230606T095031_R079_T33UWP_20230606T162616,1000,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,1,0,0.0,1000.0000000002328,1000.0000000009313,0.15802407264709473,100.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0
3,stockerau_small_1000_0,S2A_MSIL2A_20230609T100031_R122_T33UWP_20230609T173715,20,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,99.96,0.0,0.0,2500,0,0.0,1000.0000000002328,1000.0000000009313,0.3967595100402832,100.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0
16,stockerau_small_1000_0,S2A_MSIL2A_20230609T100031_R122_T33UWP_20230609T173715,50,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,400,0,0.0,1000.0000000002328,1000.0000000009313,0.16652488708496094,100.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04,0.04000000000000625,0.0,0.0,0.0,0.0,1000.0
29,stockerau_small_1000_0,S2A_MSIL2A_20230609T100031_R122_T33UWP_20230609T173715,100,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,100,0,0.0,1000.0000000002328,1000.0000000009313,0.16260910034179688,100.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04,0.04000000000000625,0.0,0.0,0.0,0.0,1000.0
42,stockerau_small_1000_0,S2A_MSIL2A_20230609T100031_R122_T33UWP_20230609T173715,200,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,25,0,0.0,1000.0000000002328,1000.0000000009313,0.1664423942565918,100.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04,0.04000000000000625,0.0,0.0,0.0,0.0,1000.0
55,stockerau_small_1000_0,S2A_MSIL2A_20230609T100031_R122_T33UWP_20230609T173715,500,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,4,0,0.0,1000.0000000002328,1000.0000000009313,0.16887211799621582,100.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04,0.04000000000000625,0.0,0.0,0.0,0.0,1000.0
68,stockerau_small_1000_0,S2A_MSIL2A_20230609T100031_R122_T33UWP_20230609T173715,1000,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,1,0,0.0,1000.0000000002328,1000.0000000009313,0.15802407264709473,100.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04,0.04000000000000625,0.0,0.0,0.0,0.0,1000.0
6,stockerau_small_1000_0,S2A_MSIL2A_20230616T095031_R079_T33UWP_20230616T172735,20,,0.0,0.0,0.0,82.84,16.6,0.52,0.04,0.0,0.0,0.0,0.0,2500,0,0.0,1000.0000000002328,1000.0000000009313,0.3967595100402832,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0
19,stockerau_small_1000_0,S2A_MSIL2A_20230616T095031_R079_T33UWP_20230616T172735,50,,0.0,0.0,0.0,84.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,400,0,0.0,1000.0000000002328,1000.0000000009313,0.16652488708496094,0.0,,0.0,0.0,0.0,1.1599999999999966,-0.6000000000000014,-0.52,-0.04,0.0,0.0,0.0,0.0,0.0,1.1599999999999966,1000.0
32,stockerau_small_1000_0,S2A_MSIL2A_20230616T095031_R079_T33UWP_20230616T172735,100,,0.0,0.0,0.0,83.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,100,0,0.0,1000.0000000002328,1000.0000000009313,0.16260910034179688,0.0,,0.0,0.0,0.0,0.1599999999999966,0.3999999999999986,-0.52,-0.04,0.0,0.0,0.0,0.0,0.0,0.52,1000.0
45,stockerau_small_1000_0,S2A_MSIL2A_20230616T095031_R079_T33UWP_20230616T172735,200,,0.0,0.0,0.0,88.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,25,0,0.0,1000.0000000002328,1000.0000000009313,0.1664423942565918,0.0,,0.0,0.0,0.0,5.159999999999997,-4.600000000000001,-0.52,-0.04,0.0,0.0,0.0,0.0,0.0,5.159999999999997,1000.0
58,stockerau_small_1000_0,S2A_MSIL2A_20230616T095031_R079_T33UWP_20230616T172735,500,,0.0,0.0,0.0,75.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0,0.0,1000.0000000002328,1000.0000000009313,0.16887211799621582,0.0,,0.0,0.0,0.0,-7.840000000000003,8.399999999999999,-0.52,-0.04,0.0,0.0,0.0,0.0,0.0,8.399999999999999,1000.0
71,stockerau_small_1000_0,S2A_MSIL2A_20230616T095031_R079_T33UWP_20230616T172735,1000,,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,1000.0000000002328,1000.0000000009313,0.15802407264709473,0.0,,0.0,0.0,0.0,17.159999999999997,-16.6,-0.52,-0.04,0.0,0.0,0.0,0.0,0.0,17.159999999999997,1000.0
7,stockerau_small_1000_0,S2A_MSIL2A_20230619T100031_R122_T33UWP_20230619T172742,20,,0.0,0.0,0.0,73.84,12.44,0.52,0.2,0.0,0.0,13.0,0.0,2500,0,0.0,1000.0000000002328,1000.0000000009313,0.3967595100402832,13.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0
20,stockerau_small_1000_0,S2A_MSIL2A_20230619T100031_R122_T33UWP_20230619T172742,50,,0.0,0.0,0.0,74.5,12.75,0.0,0.25,0.0,0.0,12.5,0.0,400,0,0.0,1000.0000000002328,1000.0000000009313,0.16652488708496094,12.5,,0.0,0.0,0.0,0.6599999999999966,0.3100000000000005,-0.52,0.04999999999999999,0.0,0.0,-0.5,0.0,-0.5,0.6599999999999966,1000.0
33,stockerau_small_1000_0,S2A_MSIL2A_20230619T100031_R122_T33UWP_20230619T172742,100,,0.0,0.0,0.0,72.0,13.0,0.0,0.0,0.0,0.0,15.0,0.0,100,0,0.0,1000.0000000002328,1000.0000000009313,0.16260910034179688,15.0,,0.0,0.0,0.0,-1.8400000000000034,0.5600000000000005,-0.52,-0.2,0.0,0.0,2.0,0.0,2.0,2.0,1000.0
46,stockerau_small_1000_0,S2A_MSIL2A_20230619T100031_R122_T33UWP_20230619T172742,200,,0.0,0.0,0.0,72.0,16.0,0.0,0.0,0.0,0.0,12.0,0.0,25,0,0.0,1000.0000000002328,1000.0000000009313,0.1664423942565918,12.0,,0.0,0.0,0.0,-1.8400000000000034,3.5600000000000005,-0.52,-0.2,0.0,0.0,-1.0,0.0,-1.0,3.5600000000000005,1000.0
59,stockerau_small_1000_0,S2A_MSIL2A_20230619T100031_R122_T33UWP_20230619T172742,500,,0.0,0.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,4,0,0.0,1000.0000000002328,1000.0000000009313,0.16887211799621582,25.0,,0.0,0.0,0.0,1.1599999999999966,-12.44,-0.52,-0.2,0.0,0.0,12.0,0.0,12.0,12.44,1000.0
72,stockerau_small_1000_0,S2A_MSIL2A_20230619T100031_R122_T33UWP_20230619T172742,1000,,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,1000.0000000002328,1000.0000000009313,0.15802407264709473,0.0,,0.0,0.0,0.0,26.159999999999997,-12.44,-0.52,-0.2,0.0,0.0,-13.0,0.0,-13.0,26.159999999999997,1000.0
10,stockerau_small_1000_0,S2A_MSIL2A_20230626T095031_R079_T33UWP_20230626T161132,20,,0.0,0.0,0.0,85.2,14.24,0.52,0.04,0.0,0.0,0.0,0.0,2500,0,0.0,1000.0000000002328,1000.0000000009313,0.3967595100402832,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0
23,stockerau_small_1000_0,S2A_MSIL2A_20230626T095031_R079_T33UWP_20230626T161132,50,,0.0,0.0,0.0,85.5,14.5,0.0,0.0,0.0,0.0,0.0,0.0,400,0,0.0,1000.0000000002328,1000.0000000009313,0.16652488708496094,0.0,,0.0,0.0,0.0,0.29999999999999716,0.2599999999999998,-0.52,-0.04,0.0,0.0,0.0,0.0,0.0,0.52,1000.0
36,stockerau_small_1000_0,S2A_MSIL2A_20230626T095031_R079_T33UWP_20230626T161132,100,,0.0,0.0,0.0,86.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,100,0,0.0,1000.0000000002328,1000.0000000009313,0.16260910034179688,0.0,,0.0,0.0,0.0,0.7999999999999972,-0.2400000000000002,-0.52,-0.04,0.0,0.0,0.0,0.0,0.0,0.7999999999999972,1000.0
49,stockerau_small_1000_0,S2A_MSIL2A_20230626T095031_R079_T33UWP_20230626T161132,200,,0.0,0.0,0.0,92.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,25,0,0.0,1000.0000000002328,1000.0000000009313,0.1664423942565918,0.0,,0.0,0.0,0.0,6.799999999999997,-6.24,-0.52,-0.04,0.0,0.0,0.0,0.0,0.0,6.799999999999997,1000.0
62,stockerau_small_1000_0,S2A_MSIL2A_20230626T095031_R079_T33UWP_20230626T161132,500,,0.0,0.0,0.0,75.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0,0.0,1000.0000000002328,1000.0000000009313,0.16887211799621582,0.0,,0.0,0.0,0.0,-10.200000000000003,10.76,-0.52,-0.04,0.0,0.0,0.0,0.0,0.0,10.76,1000.0
75,stockerau_small_1000_0,S2A_MSIL2A_20230626T095031_R079_T33UWP_20230626T161132,1000,,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,1000.0000000002328,1000.0000000009313,0.15802407264709473,0.0,,0.0,0.0,0.0,14.799999999999997,-14.24,-0.52,-0.04,0.0,0.0,0.0,0.0,0.0,14.799999999999997,1000.0
11,stockerau_small_1000_0,S2A_MSIL2A_20230629T100031_R122_T33UWP_20230629T191411,20,,0.0,0.0,0.0,89.4,9.96,0.56,0.08,0.0,0.0,0.0,0.0,2500,0,0.0,1000.0000000002328,1000.0000000009313,0.3967595100402832,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0
24,stockerau_small_1000_0,S2A_MSIL2A_20230629T100031_R122_T33UWP_20230629T191411,50,,0.0,0.0,0.0,89.75,10.25,0.0,0.0,0.0,0.0,0.0,0.0,400,0,0.0,1000.0000000002328,1000.0000000009313,0.16652488708496094,0.0,,0.0,0.0,0.0,0.3499999999999943,0.28999999999999915,-0.56,-0.08,0.0,0.0,0.0,0.0,0.0,0.56,1000.0
37,stockerau_small_1000_0,S2A_MSIL2A_20230629T100031_R122_T33UWP_20230629T191411,100,,0.0,0.0,0.0,90.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,100,0,0.0,1000.0000000002328,1000.0000000009313,0.16260910034179688,0.0,,0.0,0.0,0.0,0.5999999999999943,0.03999999999999915,-0.56,-0.08,0.0,0.0,0.0,0.0,0.0,0.5999999999999943,1000.0
50,stockerau_small_1000_0,S2A_MSIL2A_20230629T100031_R122_T33UWP_20230629T191411,200,,0.0,0.0,0.0,92.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,25,0,0.0,1000.0000000002328,1000.0000000009313,0.1664423942565918,0.0,,0.0,0.0,0.0,2.5999999999999943,-1.9600000000000009,-0.56,-0.08,0.0,0.0,0.0,0.0,0.0,2.5999999999999943,1000.0
63,stockerau_small_1000_0,S2A_MSIL2A_20230629T100031_R122_T33UWP_20230629T191411,500,,0.0,0.0,0.0,75.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0,0.0,1000.0000000002328,1000.0000000009313,0.16887211799621582,0.0,,0.0,0.0,0.0,-14.400000000000006,15.04,-0.56,-0.08,0.0,0.0,0.0,0.0,0.0,15.04,1000.0
76,stockerau_small_1000_0,S2A_MSIL2A_20230629T100031_R122_T33UWP_20230629T191411,1000,,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,1000.0000000002328,1000.0000000009313,0.15802407264709473,0.0,,0.0,0.0,0.0,10.599999999999994,-9.96,-0.56,-0.08,0.0,0.0,0.0,0.0,0.0,10.599999999999994,1000.0
0,stockerau_small_1000_0,S2B_MSIL2A_20230601T094549_R079_T33UWP_20230601T163321,20,,0.0,0.0,0.0,80.4,19.0,0.56,0.04,0.0,0.0,0.0,0.0,2500,0,0.0,1000.0000000002328,1000.0000000009313,0.3967595100402832,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0
13,stockerau_small_1000_0,S2B_MSIL2A_20230601T094549_R079_T33UWP_20230601T163321,50,,0.0,0.0,0.0,79.25,20.75,0.0,0.0,0.0,0.0,0.0,0.0,400,0,0.0,1000.0000000002328,1000.0000000009313,0.16652488708496094,0.0,,0.0,0.0,0.0,-1.1500000000000057,1.75,-0.56,-0.04,0.0,0.0,0.0,0.0,0.0,1.75,1000.0
26,stockerau_small_1000_0,S2B_MSIL2A_20230601T094549_R079_T33UWP_20230601T163321,100,,0.0,0.0,0.0,79.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,100,0,0.0,1000.0000000002328,1000.0000000009313,0.16260910034179688,0.0,,0.0,0.0,0.0,-1.4000000000000057,2.0,-0.56,-0.04,0.0,0.0,0.0,0.0,0.0,2.0,1000.0
39,stockerau_small_1000_0,S2B_MSIL2A_20230601T094549_R079_T33UWP_20230601T163321,200,,0.0,0.0,0.0,88.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,25,0,0.0,1000.0000000002328,1000.0000000009313,0.1664423942565918,0.0,,0.0,0.0,0.0,7.599999999999994,-7.0,-0.56,-0.04,0.0,0.0,0.0,0.0,0.0,7.599999999999994,1000.0
52,stockerau_small_1000_0,S2B_MSIL2A_20230601T094549_R079_T33UWP_20230601T163321,500,,0.0,0.0,0.0,75.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0,0.0,1000.0000000002328,1000.0000000009313,0.16887211799621582,0.0,,0.0,0.0,0.0,-5.400000000000006,6.0,-0.56,-0.04,0.0,0.0,0.0,0.0,0.0,6.0,1000.0
65,stockerau_small_1000_0,S2B_MSIL2A_20230601T094549_R079_T33UWP_20230601T163321,1000,,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,1000.0000000002328,1000.0000000009313,0.15802407264709473,0.0,,0.0,0.0,0.0,19.599999999999994,-19.0,-0.56,-0.04,0.0,0.0,0.0,0.0,0.0,19.599999999999994,1000.0
1,stockerau_small_1000_0,S2B_MSIL2A_20230604T095559_R122_T33UWP_20230604T174403,20,,0.0,0.0,0.0,78.28,17.68,0.56,0.0,0.96,0.0,2.52,0.0,2500,0,0.0,1000.0000000002328,1000.0000000009313,0.3967595100402832,3.48,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0
14,stockerau_small_1000_0,S2B_MSIL2A_20230604T095559_R122_T33UWP_20230604T174403,50,,0.0,0.0,0.0,74.25,21.0,0.0,0.0,1.25,0.0,3.5,0.0,400,0,0.0,1000.0000000002328,1000.0000000009313,0.16652488708496094,4.75,,0.0,0.0,0.0,-4.030000000000001,3.3200000000000003,-0.56,0.0,0.29000000000000004,0.0,0.98,0.0,1.27,4.030000000000001,1000.0
27,stockerau_small_1000_0,S2B_MSIL2A_20230604T095559_R122_T33UWP_20230604T174403,100,,0.0,0.0,0.0,78.0,17.0,0.0,0.0,0.0,0.0,5.0,0.0,100,0,0.0,1000.0000000002328,1000.0000000009313,0.16260910034179688,5.0,,0.0,0.0,0.0,-0.28000000000000114,-0.6799999999999997,-0.56,0.0,-0.96,0.0,2.48,0.0,1.52,1.52,1000.0
40,stockerau_small_1000_0,S2B_MSIL2A_20230604T095559_R122_T33UWP_20230604T174403,200,,0.0,0.0,0.0,88.0,4.0,0.0,0.0,0.0,0.0,8.0,0.0,25,0,0.0,1000.0000000002328,1000.0000000009313,0.1664423942565918,8.0,,0.0,0.0,0.0,9.719999999999999,-13.68,-0.56,0.0,-0.96,0.0,5.48,0.0,4.52,13.68,1000.0
53,stockerau_small_1000_0,S2B_MSIL2A_20230604T095559_R122_T33UWP_20230604T174403,500,,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0,0.0,1000.0000000002328,1000.0000000009313,0.16887211799621582,0.0,,0.0,0.0,0.0,21.72,-17.68,-0.56,0.0,-0.96,0.0,-2.52,0.0,-3.48,21.72,1000.0
66,stockerau_small_1000_0,S2B_MSIL2A_20230604T095559_R122_T33UWP_20230604T174403,1000,,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,1000.0000000002328,1000.0000000009313,0.15802407264709473,0.0,,0.0,0.0,100.0,-78.28,-17.68,-0.56,0.0,-0.96,0.0,-2.52,0.0,-3.48,100.0,1000.0
